var,condition,pearson_ratio,family,beta,se,z,p,n_obs,p_adj
step_score,0.2Alpha_2000Neurons,0.9240000000000002,Gaussian,-1.0677882857369286e-16,1.036811423986692e-08,-1.0298770451729073e-08,0.9999999917827701,250,0.9999999997689264
step_score,0.2Alpha_10000Neurons,0.9240000000000002,Gaussian,3.0365769986251743e-18,1.0485134466562864e-08,2.8960782604255867e-10,0.9999999997689264,250,0.9999999997689264
step_score,0.2Alpha_AllSigNeurons,0.9240000000000002,Gaussian,-3.341455842032283e-17,1.0485134466562902e-08,-3.186850729180619e-09,0.999999997457261,250,0.9999999997689264
step_score,0.6Alpha_2000Neurons,0.9240000000000002,Gaussian,2.9965234896722337e-16,1.1161521228208266e-08,2.6846909380946983e-08,0.9999999785792655,250,0.9999999997689264
step_score,0.6Alpha_10000Neurons,0.9240000000000002,Gaussian,-1.4887775298133978e-16,1.1051665224606207e-08,-1.3471069739777118e-08,0.9999999892516415,250,0.9999999997689264
step_score,0.6Alpha_AllSigNeurons,0.9240000000000002,Gaussian,-3.3600000000000003,0.5956643350075694,-5.640760748177584,1.693004726117278e-08,250,1.5237042535055503e-07
step_score,-0.6Alpha_2000Neurons,0.9240000000000002,Gaussian,1.3892339768633925e-16,1.1993892315882286e-08,1.1582845170485414e-08,0.9999999907582267,250,0.9999999997689264
step_score,-0.6Alpha_10000Neurons,0.9240000000000002,Gaussian,2.44141197735967e-16,1.2080221859459216e-08,2.020999287730766e-08,0.9999999838747587,250,0.9999999997689264
step_score,-0.6Alpha_AllSigNeurons,0.9240000000000002,Gaussian,-8.892570965158142e-17,1.2260869083020698e-08,-7.2528063915737435e-09,0.9999999942130977,250,0.9999999997689264
order_error,0.2Alpha_2000Neurons,0.10266666666666667,Gaussian,-3.1916113503964415e-17,1.9589973832761455e-09,-1.6292065408780303e-08,0.9999999870008125,250,0.9999999977994942
order_error,0.2Alpha_10000Neurons,0.10266666666666667,Gaussian,-7.677583998842895e-17,7.967685616168103e-10,-9.635902279155529e-08,0.9999999231166234,250,0.9999999977994942
order_error,0.2Alpha_AllSigNeurons,0.10266666666666667,Gaussian,-3.198124116077103e-17,1.182124721300548e-09,-2.7054032949743205e-08,0.9999999784140048,250,0.9999999977994942
order_error,0.6Alpha_2000Neurons,0.10266666666666667,Gaussian,7.600651954241181e-17,1.8028392364759059e-09,4.2159343997296904e-08,0.9999999663617103,250,0.9999999977994942
order_error,0.6Alpha_10000Neurons,0.10266666666666667,Gaussian,-6.567360974217732e-17,1.2449636942078917e-09,-5.2751425642144664e-08,0.9999999579104519,250,0.9999999977994942
order_error,0.6Alpha_AllSigNeurons,0.10266666666666667,Gaussian,-1.12,0.19855477833585647,-5.640760748177584,1.693004726117278e-08,250,1.5237042535055503e-07
order_error,-0.6Alpha_2000Neurons,0.10266666666666667,Gaussian,-3.9295382305996554e-18,1.4248169591531566e-09,-2.7579249428187503e-09,0.9999999977994942,250,0.9999999977994942
order_error,-0.6Alpha_10000Neurons,0.10266666666666667,Gaussian,4.381005182828196e-17,1.254016003698924e-09,3.493579962221941e-08,0.9999999721252648,250,0.9999999977994942
order_error,-0.6Alpha_AllSigNeurons,0.10266666666666667,Gaussian,1.6054476212653e-17,9.259460714710739e-10,1.7338457073581887e-08,0.9999999861659128,250,0.9999999977994942
