var,condition,pearson_ratio,family,beta,se,z,p,n_obs,p_adj
n_entities,0.2Alpha_2000Neurons,0.0023155280609971278,Gamma,0.0028742296897339027,0.004948391576535805,0.5808411976454882,0.5613474862757866,250,0.6405725536046013
n_entities,0.2Alpha_10000Neurons,0.0023155280609971278,Gamma,-0.0003234257128452919,0.007319109308489124,-0.044189217459857336,0.9647535768796287,250,0.9647535768796287
n_entities,0.2Alpha_AllSigNeurons,0.0023155280609971278,Gamma,0.0028742296897338484,0.0049483915765358025,0.5808411976454776,0.5613474862757937,250,0.6405725536046013
n_entities,0.6Alpha_2000Neurons,0.0023155280609971278,Gamma,0.0028308946669822125,0.004975747450497266,0.5689385755901455,0.5693978254263122,250,0.6405725536046013
n_entities,0.6Alpha_10000Neurons,0.0023155280609971278,Gamma,-0.005864093336457608,0.00701406927450724,-0.8360472511685563,0.40312832148187494,250,0.6405725536046013
n_entities,0.6Alpha_AllSigNeurons,0.0023155280609971278,Gamma,-0.05769895727247358,0.023779306353535964,-2.426435675399497,0.015247953094903864,250,0.13723157785413478
n_entities,-0.6Alpha_2000Neurons,0.0023155280609971278,Gamma,0.002875456894443368,0.0028208586074544273,1.0193552015846021,0.30803436592311206,250,0.6405725536046013
n_entities,-0.6Alpha_10000Neurons,0.0023155280609971278,Gamma,-0.0057956862129653975,0.008116027094636833,-0.7141038522154831,0.4751629640933426,250,0.6405725536046013
n_entities,-0.6Alpha_AllSigNeurons,0.0023155280609971278,Gamma,-0.009113404527096533,0.015388667953652421,-0.5922152946924503,0.5537064288451848,250,0.6405725536046013
n_events,0.2Alpha_2000Neurons,0.003257005310021999,Gamma,0.012288390453379885,0.010860888010763063,1.1314351497964235,0.25787198412071943,250,0.38680797618107915
n_events,0.2Alpha_10000Neurons,0.003257005310021999,Gamma,-0.003567345096315108,0.011577371255168096,-0.30813083710368694,0.7579827774077327,250,0.9664530286206727
n_events,0.2Alpha_AllSigNeurons,0.003257005310021999,Gamma,-0.031896608311472625,0.009177886941385351,-3.4753760331959382,0.0005101377122768328,250,0.0022956197052457477
n_events,0.6Alpha_2000Neurons,0.003257005310021999,Gamma,-0.015719969353869434,0.01255547831513694,-1.2520406598064344,0.21055504850299878,250,0.3854001209678094
n_events,0.6Alpha_10000Neurons,0.003257005310021999,Gamma,-0.0014650979313479075,0.013430383482611318,-0.10908831704208667,0.9131324412358837,250,0.9664530286206727
n_events,0.6Alpha_AllSigNeurons,0.003257005310021999,Gamma,-0.14415643491607874,0.025179226810924778,-5.725212930427715,1.0330408967745776e-08,250,9.297368070971199e-08
