var,condition,pearson_ratio,family,beta,se,z,p,n_obs,p_adj
n_entities,0.2Alpha_2000Neurons,0.0005940824550567903,Gamma,2.872963636264832e-17,,,,250,
n_entities,0.2Alpha_10000Neurons,0.0005940824550567903,Gamma,2.598413038100825e-17,,,,250,
n_entities,0.2Alpha_AllSigNeurons,0.0005940824550567903,Gamma,-0.005735690002781276,0.003901025531841535,-1.4703031179787387,0.14147967697384567,250,0.28295935394769134
n_entities,0.6Alpha_2000Neurons,0.0005940824550567903,Gamma,-0.0029064228916882732,0.0028499722937749034,-1.0198074198955103,0.3078198035081142,250,0.30781980350813465
n_entities,0.6Alpha_10000Neurons,0.0005940824550567903,Gamma,-0.002906422891688148,0.0028499722937749008,-1.0198074198954672,0.30781980350813465,250,0.30781980350813465
n_entities,0.6Alpha_AllSigNeurons,0.0005940824550567903,Gamma,-0.05026240208075009,0.01402565670531835,-3.5836041860122836,0.0003388855013611785,250,0.001355542005444714
n_entities,-0.6Alpha_2000Neurons,0.0005940824550567903,Gamma,-1.4395589250134895e-17,,,,250,
n_entities,-0.6Alpha_10000Neurons,0.0005940824550567903,Gamma,8.294593815641788e-18,,,,250,
n_entities,-0.6Alpha_AllSigNeurons,0.0005940824550567903,Gamma,9.988799334721669e-17,,,,250,
n_events,0.2Alpha_2000Neurons,0.003621439291532245,Gamma,0.008700888051546694,0.013181011477810861,0.6601077668579469,0.5091846748342588,250,0.7470425895441971
n_events,0.2Alpha_10000Neurons,0.003621439291532245,Gamma,-0.003662268215597069,0.009323178317766469,-0.39281327577079206,0.6944573986063656,250,0.7812645734321613
n_events,0.2Alpha_AllSigNeurons,0.003621439291532245,Gamma,-0.045362656830570856,0.01481787458231423,-3.061347062871833,0.002203435252386474,250,0.0066103057571594214
n_events,0.6Alpha_2000Neurons,0.003621439291532245,Gamma,-0.007147478259421507,0.01295123309871662,-0.5518762734746682,0.5810331252010422,250,0.7470425895441971
n_events,0.6Alpha_10000Neurons,0.003621439291532245,Gamma,-0.00017290235594518953,0.016592395475774322,-0.010420578282239903,0.9916857319464847,250,0.9916857319464847
n_events,0.6Alpha_AllSigNeurons,0.003621439291532245,Gamma,-0.14853172524469166,0.024691668438201704,-6.015459247577247,1.793774265407944e-09,250,1.6143968388671496e-08
n_events,-0.6Alpha_2000Neurons,0.003621439291532245,Gamma,0.006821243083397624,0.011753272425266043,0.5803696908049182,0.561665339879263,250,0.7470425895441971
n_events,-0.6Alpha_10000Neurons,0.003621439291532245,Gamma,-0.017628823883811352,0.016642517102966173,-1.059264279239911,0.2894794381067807,250,0.6513287357402565
n_events,-0.6Alpha_AllSigNeurons,0.003621439291532245,Gamma,0.04157066895024216,0.011822556273137694,3.516216627760601,0.0004377436628297312,250,0.0019698464827337904
