condition,mean,std,n,se,ci,ci_low,ci_high,alpha,scope,p_adj,task_index,folder,task_label,var,outcome
0.2Alpha_AllSigNeurons,0.8492475347442351,0.015328864651935732,25,0.0030657729303871463,0.006008914943558806,0.8432386198006763,0.8552564496877939,0.2,AllSig,0.067494139473469,1,delayed_recall,"Delayed
recall",mattr,"Lexical
richness"
0.6Alpha_2000Neurons,0.846361594210744,0.01699735539865209,25,0.003399471079730418,0.006662963316271619,0.8396986308944724,0.8530245575270156,0.6,2000,0.2751521721652028,1,delayed_recall,"Delayed
recall",mattr,"Lexical
richness"
0.6Alpha_10000Neurons,0.8418101543126661,0.016018644854924855,25,0.003203728970984971,0.006279308783130543,0.8355308455295356,0.8480894630957967,0.6,10000,0.9402285751933616,1,delayed_recall,"Delayed
recall",mattr,"Lexical
richness"
0.6Alpha_AllSigNeurons,0.8364175890191339,0.0212286759345832,25,0.004245735186916641,0.008321640966356616,0.8280959480527773,0.8447392299854904,0.6,AllSig,0.9402285751933616,1,delayed_recall,"Delayed
recall",mattr,"Lexical
richness"
Original,0.8492435519808664,0.02428248604275263,25,0.004856497208550526,0.00951873452875903,0.8397248174521074,0.8587622865096255,0.0,Original,,2,scene_construction,"Scene
construction",mattr,"Lexical
richness"
-0.6Alpha_2000Neurons,0.8567709405917282,0.02254085921765939,25,0.004508171843531878,0.008836016813322481,0.8479349237784057,0.8656069574050507,-0.6,2000,0.38058335015357,2,scene_construction,"Scene
construction",mattr,"Lexical
richness"
-0.6Alpha_10000Neurons,0.8613044428277705,0.021773295333416744,25,0.004354659066683348,0.008535131770699363,0.8527693110570712,0.8698395745984698,-0.6,10000,0.2648001131827784,2,scene_construction,"Scene
construction",mattr,"Lexical
richness"
-0.6Alpha_AllSigNeurons,0.8581123483775945,0.019025358230453197,25,0.0038050716460906395,0.007457940426337653,0.8506544079512569,0.8655702888039322,-0.6,AllSig,0.2699534916649198,2,scene_construction,"Scene
construction",mattr,"Lexical
richness"
0.2Alpha_2000Neurons,0.8467629258633887,0.01784329696258569,25,0.003568659392517138,0.00699457240933359,0.8397683534540552,0.8537574982727223,0.2,2000,0.7665290630219322,2,scene_construction,"Scene
construction",mattr,"Lexical
richness"
0.2Alpha_10000Neurons,0.8439977045371987,0.02593868965947079,25,0.005187737931894159,0.01016796634651255,0.8338297381906862,0.8541656708837112,0.2,10000,0.6875591074194953,2,scene_construction,"Scene
construction",mattr,"Lexical
richness"
0.2Alpha_AllSigNeurons,0.8527752741300128,0.02144570659386602,25,0.004289141318773204,0.00840671698479548,0.8443685571452173,0.8611819911148082,0.2,AllSig,0.7350411077759771,2,scene_construction,"Scene
construction",mattr,"Lexical
richness"
0.6Alpha_2000Neurons,0.8500810987214392,0.018488987753674177,25,0.0036977975507348354,0.007247683199440277,0.842833415521999,0.8573287819208795,0.6,2000,0.9035413858479964,2,scene_construction,"Scene
construction",mattr,"Lexical
richness"
0.6Alpha_10000Neurons,0.837478423195671,0.022766322123090398,25,0.00455326442461808,0.008924398272251437,0.8285540249234196,0.8464028214679225,0.6,10000,0.2699534916649198,2,scene_construction,"Scene
construction",mattr,"Lexical
richness"
0.6Alpha_AllSigNeurons,0.8817529777881369,0.08445342706769891,25,0.01689068541353978,0.03310574341053797,0.8486472343775989,0.9148587211986748,0.6,AllSig,0.2648001131827784,2,scene_construction,"Scene
construction",mattr,"Lexical
richness"
Original,120.72,9.838360296987164,25,1.9676720593974326,3.856637236418968,116.86336276358104,124.57663723641896,0.0,Original,,0,immediate_recall,"Immediate
recall",n_tokens,"Token
count"
-0.6Alpha_2000Neurons,119.76,14.908834070219354,25,2.981766814043871,5.844262955525987,113.91573704447401,125.604262955526,-0.6,2000,0.7322489168452231,0,immediate_recall,"Immediate
recall",n_tokens,"Token
count"
-0.6Alpha_10000Neurons,126.04,10.82620278152348,25,2.165240556304696,4.243871490357204,121.7961285096428,130.2838714903572,-0.6,10000,0.2511605582752908,0,immediate_recall,"Immediate
recall",n_tokens,"Token
count"
-0.6Alpha_AllSigNeurons,125.68,14.67912349790227,25,2.935824699580454,5.75421641117769,119.92578358882231,131.4342164111777,-0.6,AllSig,0.2960056691159549,0,immediate_recall,"Immediate
recall",n_tokens,"Token
count"
0.2Alpha_2000Neurons,122.48,13.317031701296399,25,2.6634063402592796,5.220276426908188,117.25972357309182,127.70027642690819,0.2,2000,0.7271420203203874,0,immediate_recall,"Immediate
recall",n_tokens,"Token
count"
0.2Alpha_10000Neurons,117.08,16.015409246514228,25,3.2030818493028455,6.278040424633577,110.80195957536642,123.35804042463357,0.2,10000,0.377098159787522,0,immediate_recall,"Immediate
recall",n_tokens,"Token
count"
0.2Alpha_AllSigNeurons,117.8,14.439529078193653,25,2.8879058156387307,5.660295398651912,112.13970460134809,123.46029539865191,0.2,AllSig,0.377098159787522,0,immediate_recall,"Immediate
recall",n_tokens,"Token
count"
0.6Alpha_2000Neurons,112.24,16.8949696655543,25,3.37899393311086,6.622828108897286,105.61717189110271,118.86282810889728,0.6,2000,0.2511605582752908,0,immediate_recall,"Immediate
recall",n_tokens,"Token
count"
0.6Alpha_10000Neurons,107.52,17.12240247940302,25,3.424480495880604,6.711981771925984,100.80801822807402,114.23198177192597,0.6,10000,0.001785641294205,0,immediate_recall,"Immediate
recall",n_tokens,"Token
count"
0.6Alpha_AllSigNeurons,119.48,22.248820193439467,25,4.449764038687894,8.721537515828272,110.75846248417173,128.20153751582828,0.6,AllSig,0.7271420203203874,0,immediate_recall,"Immediate
recall",n_tokens,"Token
count"
Original,120.4,10.0,25,2.0,3.92,116.48,124.32000000000001,0.0,Original,,1,delayed_recall,"Delayed
recall",n_tokens,"Token
count"
-0.6Alpha_2000Neurons,119.96,14.426480282221764,25,2.8852960564443526,5.655180270630931,114.30481972936906,125.61518027063093,-0.6,2000,0.9279153723641234,1,delayed_recall,"Delayed
recall",n_tokens,"Token
count"
-0.6Alpha_10000Neurons,126.04,11.27489837352574,25,2.2549796747051483,4.41976016242209,121.62023983757791,130.4597601624221,-0.6,10000,0.1729419447025775,1,delayed_recall,"Delayed
recall",n_tokens,"Token
count"
-0.6Alpha_AllSigNeurons,125.6,14.705441169852739,25,2.9410882339705475,5.764532938582273,119.83546706141772,131.36453293858227,-0.6,AllSig,0.2007533765161195,1,delayed_recall,"Delayed
recall",n_tokens,"Token
count"
0.2Alpha_2000Neurons,120.4,13.564659966250534,25,2.712931993250107,5.317346706770209,115.0826532932298,125.71734670677021,0.2,2000,0.94506516324835,1,delayed_recall,"Delayed
recall",n_tokens,"Token
count"
0.2Alpha_10000Neurons,116.44,15.5645965789887,25,3.11291931579774,6.101321858963571,110.33867814103643,122.54132185896357,0.2,10000,0.2830136068231711,1,delayed_recall,"Delayed
recall",n_tokens,"Token
count"
0.2Alpha_AllSigNeurons,115.88,15.125365009369746,25,3.0250730018739493,5.92914308367294,109.95085691632706,121.80914308367294,0.2,AllSig,0.2007533765161195,1,delayed_recall,"Delayed
recall",n_tokens,"Token
count"
0.6Alpha_2000Neurons,110.64,18.172506706560878,25,3.6345013413121756,7.123622628971864,103.51637737102814,117.76362262897186,0.6,2000,0.1136654604658769,1,delayed_recall,"Delayed
recall",n_tokens,"Token
count"
0.6Alpha_10000Neurons,105.36,15.840033669997887,25,3.168006733999577,6.2092931986391715,99.15070680136083,111.56929319863917,0.6,10000,0.0001262233209869,1,delayed_recall,"Delayed
recall",n_tokens,"Token
count"
0.6Alpha_AllSigNeurons,108.64,17.497333130127764,25,3.4994666260255527,6.858954587010083,101.78104541298991,115.49895458701009,0.6,AllSig,0.0143044676803579,1,delayed_recall,"Delayed
recall",n_tokens,"Token
count"
Original,142.24,7.287432103743177,25,1.4574864207486353,2.8566733846673253,139.3833266153327,145.09667338466733,0.0,Original,,2,scene_construction,"Scene
construction",n_tokens,"Token
count"
-0.6Alpha_2000Neurons,143.48,8.6222580182533,25,1.7244516036506599,3.3799251431552935,140.10007485684469,146.8599251431553,-0.6,2000,0.6126463187593184,2,scene_construction,"Scene
construction",n_tokens,"Token
count"
-0.6Alpha_10000Neurons,144.64,7.250747087944343,25,1.4501494175888685,2.842292858474182,141.7977071415258,147.48229285847418,-0.6,10000,0.366080335866609,2,scene_construction,"Scene
construction",n_tokens,"Token
count"
-0.6Alpha_AllSigNeurons,151.04,7.173330235439237,25,1.4346660470878474,2.8119454522921807,148.2280545477078,153.85194545229217,-0.6,AllSig,6.631641664897418e-07,2,scene_construction,"Scene
construction",n_tokens,"Token
count"
0.2Alpha_2000Neurons,140.44,9.26498785752038,25,1.8529975715040758,3.6318752401479886,136.808124759852,144.071875240148,0.2,2000,0.5766102567666354,2,scene_construction,"Scene
construction",n_tokens,"Token
count"
0.2Alpha_10000Neurons,141.52,7.136292221221516,25,1.4272584442443033,2.7974265507188343,138.72257344928119,144.31742655071884,0.2,10000,0.7020291049403237,2,scene_construction,"Scene
construction",n_tokens,"Token
count"
0.2Alpha_AllSigNeurons,130.56,10.60691598282303,25,2.121383196564606,4.157911065266628,126.40208893473337,134.71791106526663,0.2,AllSig,2.0553199280871205e-05,2,scene_construction,"Scene
construction",n_tokens,"Token
count"
0.6Alpha_2000Neurons,139.08,7.92106895143158,25,1.584213790286316,3.1050590289611795,135.97494097103882,142.1850590289612,0.6,2000,0.1761134152142634,2,scene_construction,"Scene
construction",n_tokens,"Token
count"
0.6Alpha_10000Neurons,134.08,10.641585094962755,25,2.128317018992551,4.1715013572254005,129.90849864277462,138.2515013572254,0.6,10000,0.0012043137921901,2,scene_construction,"Scene
construction",n_tokens,"Token
count"
0.6Alpha_AllSigNeurons,77.64,52.50704714607364,25,10.501409429214728,20.58276248126087,57.05723751873913,98.22276248126087,0.6,AllSig,2.0553199280871205e-05,2,scene_construction,"Scene
construction",n_tokens,"Token
count"
