task,metric,metric_label,contrast,comparison,scope,condition_a,condition_b,mean_a,mean_b,raw_mean_difference_a_minus_b,gee_estimate,se,z,p,family,pearson_ratio,n_obs,converged,q,significant_fdr
Working memory,dg_backward,DG backward,Random AllSig vs Original,random_vs_original,AllSig,0.6Alpha_AllSigRandomNeurons,Original,0.96,1.0,-0.040000000000000036,-0.03999999999999994,0.03919183588453079,-1.0206207261596576,0.30743416592739536,Gaussian identity,0.07616666666666667,125,True,0.40991222123652715,False
Working memory,dg_backward,DG backward,Random 10k vs AD 10k,random_vs_ad,10000,0.6Alpha_10000RandomNeurons,0.6Alpha_10000Neurons,1.0,0.44,0.56,0.5599999999999999,0.0992773891679269,5.640760748177659,1.693004726116544e-08,Gaussian identity,0.07616666666666667,125,True,3.386009452233088e-08,True
Working memory,dg_backward,DG backward,Random AllSig vs AD AllSig,random_vs_ad,AllSig,0.6Alpha_AllSigRandomNeurons,0.6Alpha_AllSigNeurons,0.96,0.08,0.88,0.88,0.06499230723708774,13.54006400772659,9.070984467174452e-42,Gaussian identity,0.07616666666666667,125,True,3.6283937868697806e-41,True
Working memory,dg_forward,DG forward,Random 10k vs Original,random_vs_original,10000,0.6Alpha_10000RandomNeurons,Original,1.0,1.0,0.0,1.972291365096741e-17,1.517662705612589e-09,1.2995584313977365e-08,0.9999999896310239,Gaussian identity,0.04799999999999999,125,True,0.9999999896310239,False
Working memory,dg_forward,DG forward,Random AllSig vs Original,random_vs_original,AllSig,0.6Alpha_AllSigRandomNeurons,Original,1.0,1.0,0.0,-2.7779437875208687e-17,1.375063547252566e-09,-2.020229387268185e-08,0.9999999838809016,Gaussian identity,0.04799999999999999,125,True,0.9999999896310239,False
Working memory,dg_forward,DG forward,Random 10k vs AD 10k,random_vs_ad,10000,0.6Alpha_10000RandomNeurons,0.6Alpha_10000Neurons,1.0,1.0,0.0,1.1355391453526892e-17,4.109983937337058e-10,2.7628797646553044e-08,0.999999977955409,Gaussian identity,0.04799999999999999,125,True,0.9999999896310239,False
Working memory,dg_forward,DG forward,Random AllSig vs AD AllSig,random_vs_ad,AllSig,0.6Alpha_AllSigRandomNeurons,0.6Alpha_AllSigNeurons,1.0,0.36,0.64,0.64,0.09600000000000007,6.666666666666662,2.6167849372106934e-11,Gaussian identity,0.04799999999999999,125,True,1.0467139748842774e-10,True
Working memory,dglt_backward,DGLT backward,Random 10k vs Original,random_vs_original,10000,0.6Alpha_10000RandomNeurons,Original,0.96,1.0,-0.040000000000000036,-0.03999999999999998,0.0391918358845307,-1.020620726159661,0.3074341659273937,Gaussian identity,0.022999999999999996,125,True,0.3074341659273937,False
Working memory,dglt_backward,DGLT backward,Random AllSig vs Original,random_vs_original,AllSig,0.6Alpha_AllSigRandomNeurons,Original,0.08,1.0,-0.92,-0.92,0.054258639865001956,-16.95582495781323,1.7429771332297862e-64,Gaussian identity,0.022999999999999996,125,True,3.4859542664595724e-64,True
Working memory,dglt_backward,DGLT backward,Random 10k vs AD 10k,random_vs_ad,10000,0.6Alpha_10000RandomNeurons,0.6Alpha_10000Neurons,0.96,0.0,0.96,0.96,0.039191835884530866,24.49489742783177,1.674167984692074e-132,Gaussian identity,0.022999999999999996,125,True,6.696671938768297e-132,True
Working memory,dglt_backward,DGLT backward,Random AllSig vs AD AllSig,random_vs_ad,AllSig,0.6Alpha_AllSigRandomNeurons,0.6Alpha_AllSigNeurons,0.08,0.0,0.08,0.07999999999999996,0.05425863986500217,1.47441956154897,0.14036866077167362,Gaussian identity,0.022999999999999996,125,True,0.18715821436223148,False
Working memory,dglt_forward,DGLT forward,Random 10k vs Original,random_vs_original,10000,0.6Alpha_10000RandomNeurons,Original,1.0,1.0,0.0,-2.7214253457231205e-18,0.0,0.0,1.0,Gaussian identity,0.04199999999999998,125,True,1.0,False
Working memory,dglt_forward,DGLT forward,Random AllSig vs Original,random_vs_original,AllSig,0.6Alpha_AllSigRandomNeurons,Original,1.0,1.0,0.0,-2.4060693106072073e-17,0.0,0.0,1.0,Gaussian identity,0.04199999999999998,125,True,1.0,False
Working memory,dglt_forward,DGLT forward,Random 10k vs AD 10k,random_vs_ad,10000,0.6Alpha_10000RandomNeurons,0.6Alpha_10000Neurons,1.0,1.0,0.0,-6.6857326966317575e-18,0.0,0.0,1.0,Gaussian identity,0.04199999999999998,125,True,1.0,False
Working memory,dglt_forward,DGLT forward,Random AllSig vs AD AllSig,random_vs_ad,AllSig,0.6Alpha_AllSigRandomNeurons,0.6Alpha_AllSigNeurons,1.0,0.28,0.72,0.72,0.08979977728257467,8.017837257372724,1.0762326697521405e-15,Gaussian identity,0.04199999999999998,125,True,4.304930679008562e-15,True
Immediate recall,immediate_entity_n,Entities recalled,Random 10k vs Original,random_vs_original,10000,0.6Alpha_10000RandomNeurons,Original,6.92,7.0,-0.08000000000000007,-0.0800000000000001,0.05425863986500195,-1.4744195615489786,0.14036866077167132,Gaussian identity,0.08175,125,True,0.18715821436222843,False
