var,condition,pearson_ratio,family,beta,se,z,p,n_obs,p_adj
coref_score,0.2Alpha_2000Neurons,1.7172499999999997,Gaussian,7.426638996214738e-17,0.20000000000001292,3.7133194981071293e-16,0.9999999999999997,250,0.9999999999999997
coref_score,0.2Alpha_10000Neurons,1.7172499999999997,Gaussian,0.08000000000000015,0.21294130646731094,0.3756903783826513,0.7071470917159355,250,0.7955404781804275
coref_score,0.2Alpha_AllSigNeurons,1.7172499999999997,Gaussian,-1.38,0.3228374203837118,-4.274597406830305,1.9148297827681263e-05,250,4.3083670112282843e-05
coref_score,0.6Alpha_2000Neurons,1.7172499999999997,Gaussian,-2.1999999999999997,0.16248076809273443,-13.54006400772533,9.070984467329844e-42,250,4.08194301029843e-41
coref_score,0.6Alpha_10000Neurons,1.7172499999999997,Gaussian,-2.3,0.13564659966252277,-16.955824957810993,1.7429771332961484e-64,250,1.5686794199665337e-63
coref_score,0.6Alpha_AllSigNeurons,1.7172499999999997,Gaussian,-5.78,0.7026122686090912,-8.226443314806092,1.9285428520184028e-16,250,5.785628556055209e-16
coref_score,-0.6Alpha_2000Neurons,1.7172499999999997,Gaussian,0.10000000000000019,0.17204650534086677,0.5812381937190494,0.5610799295857133,250,0.7213884808959174
coref_score,-0.6Alpha_10000Neurons,1.7172499999999997,Gaussian,0.1000000000000002,0.17204650534086693,0.581238193719049,0.5610799295857136,250,0.7213884808959174
coref_score,-0.6Alpha_AllSigNeurons,1.7172499999999997,Gaussian,0.2000000000000002,0.13564659966252268,1.4744195615487845,0.14036866077172355,250,0.2526635893891024
