ID,coref_score
0d3a8f039b3d7773,3.5
896e45dc31afce47,3.5
7be539a818787310,3.5
2e2bca8caef1f0cd,3.5
0c148d6c7cde351f,3.5
16d73b0e69e7c8f8,3.5
77b66a13657d4138,3.5
0756f8f887591188,3.5
dd29f0af30c2b17c,3.5
2c3ae213716f612a,3.5
50efcf9bc52b713c,3.5
2161942e52a23578,3.5
962a612238eccf99,3.5
9efd1afa572715be,3.5
0cd8c1bc060716fe,3.5
9b706a401405cc89,3.5
cbd00532eb87dba7,3.5
ffcb2076b2a0402d,3.5
ae6a211d4f7a3e0a,3.5
cee5fb5d412bb213,3.5
5f6d782b10aeeffe,3.5
6c11c546ebbe389b,3.5
e5807248bb187728,3.5
fecca9fe280b3d0e,3.5
66af74e04cd420e3,3.5
da01fcab124f6d4c,3.5
33517136da0a38ec,3.5
6b61cff8ae1c1623,3.5
49f1bc3262db7cb2,3.5
0bb21389412211c9,3.5
c0ec6cf07923d1a4,3.5
a441bf6e4aac2320,3.5
3c3c590f82700da4,3.5
a533a03c3bd4f1d8,3.5
79bbc29022d940f6,3.5
81d20cfba9a33e39,3.5
63681a7355cbc27c,3.5
dbf9fa58106587a7,3.5
19b1d7d0d27ea129,3.5
187baf5ccb217050,3.5
24f4e3beea47029f,3.5
33ed672f9d40ec98,3.5
ba35286c22ef0e7e,3.5
73151ea643d99032,3.5
03a66d2d2ccee309,3.5
d114cad7bfe72b23,3.5
1a50c0d46366469c,3.5
da685f226197909a,3.5
b122d6cfce96ca30,3.5
0bce4efa07bb3d6d,3.5
ff0835b4dbb08b2b,3.5
18e02765742df2b6,3.5
4541e597a75d5be2,3.5
0689d6220cba35ae,3.5
ef39cccf154cf594,3.5
0cf495bb246f4da9,3.5
28f9eab79419bec8,3.5
879a5817d65ae73f,3.5
c209640e2c50ae2c,3.5
c6f73bbad0ed2fa7,3.5
6fb8227dc3aeab42,3.5
359ceaef7e9bdf9c,3.5
1e010e5ff1803d4d,3.5
989b83536c021730,3.5
ee55122eab899c35,3.5
12c2c10c54973dd4,3.5
4bfcb26058d4361f,3.5
b4ebe510f9dd9f51,3.5
c3dcffa1b8f4a99e,3.5
e5c70509118ce67e,3.5
020e5bdefc35a891,3.5
f1b9349ea5c11e45,0.0
