var,condition,pearson_ratio,family,beta,se,z,p,n_obs,p_adj
EP,0.2Alpha_2000Neurons,0.020380562986364717,Gaussian,0.026864332176251653,0.015208697785969517,1.7663795121916888,0.07733219995413346,250,0.15475472219764233
EP,0.2Alpha_10000Neurons,0.020380562986364717,Gaussian,8.86016288486522e-06,0.01778628786399505,0.0004981457037362434,0.9996025372503969,250,0.9996025372503969
EP,0.2Alpha_AllSigNeurons,0.020380562986364717,Gaussian,-0.027103748646621222,0.019840387581833367,-1.366089676163306,0.17191081825845245,250,0.25786622738767867
EP,0.6Alpha_2000Neurons,0.020380562986364717,Gaussian,0.002952668426083391,0.0166302060389227,0.17754851738894414,0.8590775591667441,250,0.9664622540625871
EP,0.6Alpha_10000Neurons,0.020380562986364717,Gaussian,-0.06027737441437135,0.017076629637225282,-3.5298168136745747,0.0004158474886259602,250,0.001871313698816821
EP,0.6Alpha_AllSigNeurons,0.020380562986364717,Gaussian,-0.33032925642132804,0.08613109678815904,-3.8351915712135733,0.000125466463234267,250,0.001129198169108403
EP,-0.6Alpha_2000Neurons,0.020380562986364717,Gaussian,0.02301768104093448,0.013405569956298255,1.7170236786627806,0.08597484566535686,250,0.15475472219764233
EP,-0.6Alpha_10000Neurons,0.020380562986364717,Gaussian,0.015761111441317352,0.016842037593373486,0.9358197518522684,0.3493660000433393,250,0.4491848571985791
EP,-0.6Alpha_AllSigNeurons,0.020380562986364717,Gaussian,0.026724609497829323,0.015500675175770858,1.7240932536669513,0.08469100978583705,250,0.15475472219764233
NONEP,0.2Alpha_2000Neurons,0.002842612262236293,Gaussian,-0.024635230009069017,0.015225222890009594,-1.6180538168169631,0.10565100017067561,250,0.31695300051202685
NONEP,0.2Alpha_10000Neurons,0.002842612262236293,Gaussian,-0.008629775195564671,0.01636615861971699,-0.527293874884484,0.5979895270997533,250,0.7515194305522491
NONEP,0.2Alpha_AllSigNeurons,0.002842612262236293,Gaussian,0.01927822449756761,0.01933511382085872,0.9970577197621802,0.3187364939653644,250,0.5737256891376559
NONEP,0.6Alpha_2000Neurons,0.002842612262236293,Gaussian,-0.0007235662589007614,0.016347164826527337,-0.044262492400308794,0.9646951690845714,250,0.9646951690845714
NONEP,0.6Alpha_10000Neurons,0.002842612262236293,Gaussian,0.02476626426549027,0.017738811435486224,1.3961625532557234,0.1626655503630221,250,0.36599748831679974
NONEP,0.6Alpha_AllSigNeurons,0.002842612262236293,Gaussian,0.008161533191685296,0.0190302853994449,0.4288707720549142,0.6680172716019992,250,0.7515194305522491
NONEP,-0.6Alpha_2000Neurons,0.002842612262236293,Gaussian,-0.021788578873751845,0.01337384301151999,-1.6291935575274477,0.10327205037721737,250,0.31695300051202685
NONEP,-0.6Alpha_10000Neurons,0.002842612262236293,Gaussian,-0.013532009274134728,0.01663142752477741,-0.8136408768264068,0.4158507133893107,250,0.6237760700839661
NONEP,-0.6Alpha_AllSigNeurons,0.002842612262236293,Gaussian,-0.028748900995805023,0.015537539202141213,-1.8502866265877653,0.06427224912467916,250,0.31695300051202685
