ID,EP,NONEP,OTHER
004983f2ebf3d342,0.9236842105263158,0.07631578947368421,0.0
00810b15446476f2,0.9195906432748537,0.0804093567251462,0.0
008a0295237bc03c,0.8411764705882353,0.09607843137254901,0.06274509803921569
020e5bdefc35a891,0.9285714285714286,0.07142857142857142,0.0
03a66d2d2ccee309,1.0,0.0,0.0
05c996e40516008a,0.0,0.0,1.0
0689d6220cba35ae,0.96875,0.03125,0.0
06d3243ea49f003d,0.8529411764705882,0.14705882352941177,0.0
0756f8f887591188,0.8654970760233918,0.13450292397660818,0.0
0789d8cec7990c9a,1.0,0.0,0.0
0835eb078a2fa15e,0.8233082706766917,0.17669172932330826,0.0
08655487b5c3f2b9,0.7659090909090909,0.23409090909090907,0.0
08ab51c4bcf6d716,0.9722222222222222,0.027777777777777776,0.0
090efd7069fe4985,1.0,0.0,0.0
0a6290a3f09a3845,1.0,0.0,0.0
0bb21389412211c9,1.0,0.0,0.0
0bce4efa07bb3d6d,0.8823529411764706,0.11764705882352941,0.0
0c148d6c7cde351f,0.8973684210526316,0.10263157894736842,0.0
0c40571ff093f733,1.0,0.0,0.0
0cd8c1bc060716fe,0.9666666666666667,0.03333333333333333,0.0
0cf495bb246f4da9,0.6944444444444444,0.3055555555555556,0.0
0d3a8f039b3d7773,0.9666666666666667,0.03333333333333333,0.0
0ecbe41a18307025,0.9330357142857143,0.0,0.06696428571428571
12c2c10c54973dd4,0.8784722222222222,0.12152777777777778,0.0
12f77e67b04c3d67,1.0,0.0,0.0
131c2dd1844bdfe7,0.8466386554621849,0.15336134453781514,0.0
14bdbf8dd374813c,0.8973684210526316,0.10263157894736842,0.0
1546ae3424c8d381,0.8694444444444445,0.13055555555555554,0.0
16d73b0e69e7c8f8,0.8823529411764706,0.11764705882352941,0.0
17d7513503f1fdc9,0.8395833333333333,0.16041666666666665,0.0
187baf5ccb217050,0.9545454545454546,0.045454545454545456,0.0
18e02765742df2b6,0.9273809523809524,0.07261904761904761,0.0
195fbbe46d95ca46,0.975,0.025,0.0
19ada4f0cc34597c,0.9375,0.0625,0.0
19b1d7d0d27ea129,0.9442724458204335,0.05572755417956656,0.0
1a50c0d46366469c,0.8972222222222221,0.10277777777777777,0.0
1a7a5b41e8d02365,0.9321266968325792,0.0,0.06787330316742082
1df8afb375db6660,1.0,0.0,0.0
1e010e5ff1803d4d,0.9722222222222222,0.027777777777777776,0.0
1f39e9e369bf45dd,0.825,0.125,0.05
206a1264a38e8fb8,0.9184491978609626,0.08155080213903743,0.0
20a0eb5bfebfb66e,0.9666666666666667,0.03333333333333333,0.0
20cc49e6f2d73b19,0.9442724458204335,0.05572755417956656,0.0
2161942e52a23578,0.9150326797385621,0.08496732026143791,0.0
